x,y,z
-975,-123,-224
-975,-123,-224
-975,-123,-224
-1202,-29,-71
-1202,-29,-71
-1202,-29,-71
-1202,-29,-71
-1286,38,69
-1286,38,69
-1286,38,69
-1286,38,69
-1286,38,69
-1209,34,156
-1209,34,156
-1209,34,156
-1209,34,156
-1209,34,156
-1041,-43,207
-1041,-43,207
-1041,-43,207
-1041,-43,207
-1041,-43,207
-862,-138,210
-862,-138,210
-862,-138,210
-862,-138,210
-862,-138,210
-782,-194,181
-782,-194,181
-782,-194,181
-782,-194,181
-782,-217,136
-848,-217,136
-848,-217,136
-848,-217,136
-848,-217,136
-990,-231,37
-990,-231,37
-990,-231,37
-990,-231,37
-990,-231,37
-1116,-238,-59
-1116,-238,-59
-1116,-238,-59
-1116,-238,-59
-1116,-238,-59
-1209,-242,-127
-1209,-242,-127
-1209,-242,-127
-1209,-242,-127
-1235,-256,-132
-1235,-256,-132
-1235,-256,-132
-1235,-256,-132
-1177,-305,-41
-1177,-305,-41
-1177,-305,-41
-1177,-305,-41
-1177,-305,-41
-1096,-344,119
-1096,-344,119
-1096,-344,119
-1096,-344,119
-1096,-344,294
-1051,-356,294
-1051,-356,294
-1051,-356,294
-1051,-356,294
-1042,-282,398
-1042,-282,398
-1042,-282,398
-1042,-282,398
-1042,-282,398
-1017,-127,365
-1017,-127,365
-1017,-127,365
-1017,-127,365
-996,-31,208
-996,-31,208
-996,-31,208
-996,-31,208
-996,-31,208
-1011,-30,23
-1011,-30,23
-1011,-30,23
-1011,-30,23
-1011,-30,23
-1050,-113,-87
-1050,-113,-87
-1050,-113,-87
-1050,-113,-87
-1050,-113,-102
-1094,-206,-102
-1094,-206,-102
-1094,-206,-102
-1094,-206,-102
-1123,-257,-58
-1123,-257,-58
-1123,-257,-58
-1123,-257,-58
-1156,-229,32
-1156,-229,32
-1156,-229,32
-1156,-229,32
-1156,-229,32
-1221,-116,148
-1221,-116,148
-1221,-116,148
-1221,-116,148
-1221,-116,148
-1272,54,213
-1272,54,213
-1272,54,213
-1272,54,213
-1272,54,208
-1323,185,208
-1323,185,208
-1323,185,208
-1323,185,208
-1384,186,191
-1384,186,191
-1384,186,191
-1384,186,191
-1384,186,191
-1357,103,227
-1357,103,227
-1357,103,227
-1357,103,227
-1357,103,227
-1207,43,279
-1207,43,279
-1207,43,279
-1207,43,279
-1207,43,282
-1031,23,282
-1031,23,282
-1031,23,282
-1031,23,282
-1031,23,215
-878,122,215
-878,122,215
-878,122,215
-878,122,215
-811,332,123
-811,332,123
-811,332,123
-811,332,123
-811,332,123
-925,545,77
-925,545,77
-925,545,77
-925,545,77
-925,545,77
-1124,665,88
-1124,665,88
-1124,665,88
-1124,665,88
-1124,665,88
-1274,632,58
-1274,632,58
-1274,632,58
-1274,632,58
-1274,632,58
-1385,430,-85
-1385,430,-85
-1385,430,-85
-1385,430,-85
-1385,430,-85
-1499,131,-264
-1499,131,-264
-1499,131,-264
-1499,131,-264
-1499,-125,-343
-1701,-126,-343
-1701,-126,-343
-1701,-126,-343
-1701,-126,-343
-1809,-163,-197
-1809,-163,-197
-1809,-163,-197
-1809,-163,-197
-1655,281,134
-1655,281,134
-1655,281,134
-1655,281,134
-1655,281,134
-1437,868,477
-1437,868,477
-1437,868,477
-1437,868,477
-1437,868,477
-1309,1114,662
-1309,1114,662
-1309,1114,662
-1309,1114,662
-1211,1031,560
-1211,1031,560
-1211,1031,560
-1211,1031,560
-1211,1031,560
-1064,852,245
-1064,852,245
-1064,852,245
-1064,852,245
-808,645,-117
-922,645,-117
-922,645,-117
-922,645,-117
-922,645,-117
-868,408,-447
-868,408,-447
-868,408,-447
-868,408,-447
-868,408,-447
-900,191,-644
-900,191,-644
-900,191,-644
-900,191,-644
-900,191,-644
-910,173,-621
-910,173,-621
-910,173,-621
-910,173,-621
-801,465,-433
-801,465,-433
-801,465,-433
-801,465,-433
-801,465,-433
-627,866,-220
-627,866,-220
-627,866,-220
-627,866,-220
-627,866,-220
-454,1098,-104
-454,1098,-104
-454,1098,-104
-454,1098,-104
-275,1062,-183
-275,1062,-183
-275,1062,-183
-275,1062,-183
-275,1062,-183
-91,955,-396
-91,955,-396
-91,955,-396
-91,955,-396
-91,955,-396
13,864,-639
13,864,-639
13,864,-639
13,864,-639
13,864,-639
-23,687,-900
-23,687,-900
-23,687,-900
-23,687,-900
-23,687,-900
-153,438,-1166
-153,438,-1166
-153,438,-1166
-153,438,-1166
-262,209,-1369
-262,209,-1369
-262,209,-1369
-262,209,-1369
-262,209,-1369
-292,74,-1431
-292,74,-1431
-292,74,-1431
-292,74,-1431
-292,74,-1355
-266,-17,-1355
-266,-17,-1355
-266,-17,-1355
-266,-17,-1355
-247,-189,-1182
-247,-189,-1182
-247,-189,-1182
-247,-189,-1182
-247,-189,-953
-220,-400,-953
-220,-400,-953
-220,-400,-953
-220,-400,-953
-113,-538,-628
-113,-538,-628
-113,-538,-628
-113,-538,-628
-113,-538,-628
53,-550,-197
53,-550,-197
53,-550,-197
53,-550,-197
53,-487,266
215,-487,266
215,-487,266
215,-487,266
215,-487,266
308,-404,639
308,-404,639
308,-404,639
308,-404,639
308,-404,639
326,-321,813
326,-321,813
326,-321,813
326,-321,813
326,-321,813
298,-268,795
298,-268,795
298,-268,795
298,-268,795
298,-268,795
246,-236,623
246,-236,623
246,-236,623
246,-236,623
246,-236,623
200,-194,355
200,-194,355
200,-194,355
200,-194,355
200,-194,355
162,-185,43
162,-185,43
162,-185,43
162,-185,43
162,-185,43
126,-205,-256
126,-205,-256
126,-205,-256
126,-205,-256
126,-205,-256
82,-170,-469
82,-170,-469
82,-170,-469
82,-170,-469
82,-170,-725
6,-105,-569
6,-105,-569
6,-105,-569
6,-105,-569
6,-105,-569
-74,-61,-609
-74,-61,-609
-74,-61,-609
-74,-61,-609
-74,-61,-609
-134,-48,-617
-134,-48,-617
-134,-48,-617
-134,-48,-617
-165,-61,-581
-165,-61,-581
-165,-61,-581
-165,-61,-581
-165,-61,-581
-145,-51,-507
