timestamp,x,y,z
933,1077,-800,-501
934,935,-674,-487
935,935,-674,-487
936,935,-674,-487
937,935,-674,-487
938,935,-674,-487
939,788,-480,-356
940,788,-480,-356
941,788,-480,-356
942,788,-480,-356
943,532,-311,-144
944,753,-311,-144
945,753,-311,-144
946,753,-311,-144
947,753,-311,-144
948,780,-214,66
949,780,-214,66
950,780,-214,66
951,780,-214,66
952,780,-214,66
953,863,-222,196
954,863,-222,196
955,863,-222,196
956,863,-222,196
957,863,-222,196
958,945,-287,194
959,945,-287,194
960,945,-287,194
961,945,-287,194
962,945,-287,194
963,943,-354,66
964,943,-354,66
965,943,-354,66
966,943,-354,66
967,943,-354,66
968,865,-372,-111
969,865,-372,-111
970,865,-372,-111
971,865,-372,-111
972,865,-372,-111
973,748,-337,-320
974,748,-337,-320
975,748,-337,-320
976,748,-337,-320
977,748,-337,-320
978,624,-275,-449
979,624,-275,-449
980,624,-275,-449
981,624,-275,-449
982,562,-214,-405
983,562,-214,-405
984,562,-214,-405
985,562,-214,-405
986,562,-214,-405
987,610,-174,-200
988,610,-174,-200
989,610,-174,-200
990,610,-174,-200
991,610,-174,-200
992,768,-150,92
993,768,-150,92
994,768,-150,92
995,768,-150,92
996,768,-150,92
997,928,-146,340
998,928,-146,340
999,928,-146,340
1000,928,-146,340
1001,928,-146,340
1002,966,-122,494
1003,966,-122,494
1004,966,-122,494
1005,966,-122,494
1006,966,-122,750
1007,905,-70,528
1008,905,-70,528
1009,905,-70,528
1010,905,-70,528
1011,905,-70,528
1012,750,11,453
1013,750,11,453
1014,750,11,453
1015,750,11,453
1016,750,11,453
1017,576,94,270
1018,576,94,270
1019,576,94,270
1020,576,94,270
1021,576,94,270
1022,397,110,14
1023,397,110,14
1024,397,110,14
1025,397,110,14
1026,397,110,14
1027,397,110,-268
1028,290,26,-268
1029,290,26,-268
1030,290,26,-268
1031,290,26,-268
1032,290,26,-780
1033,272,-94,-534
1034,272,-94,-534
1035,272,-94,-534
1036,272,-94,-534
1037,272,-94,-767
1038,252,-202,-767
1039,252,-202,-767
1040,252,-202,-767
1041,252,-202,-767
1042,259,-275,-922
1043,259,-275,-922
1044,259,-275,-922
1045,259,-275,-922
1046,259,-275,-922
1047,341,-268,-905
1048,341,-268,-905
1049,341,-268,-905
1050,341,-268,-905
1051,341,-268,-905
1052,418,-191,-680
1053,418,-191,-680
1054,418,-191,-680
1055,418,-191,-680
1056,406,-58,-365
1057,406,-58,-365
1058,406,-58,-365
1059,406,-58,-365
1060,406,-58,-365
1061,288,110,-80
1062,288,110,-80
1063,288,110,-80
1064,288,110,-80
1065,288,110,-80
1066,86,253,112
1067,86,253,112
1068,86,253,112
1069,86,253,112
1070,86,253,112
1071,86,253,112
1072,-89,315,186
1073,-89,315,186
1074,-89,315,186
1075,-89,315,186
1076,-89,315,186
1077,-136,338,110
1078,-136,338,110
1079,-136,338,110
1080,-136,338,110
1081,-136,338,110
1082,-60,346,-50
1083,-60,346,-50
1084,-60,346,-50
1085,-60,346,-50
1086,-60,346,-50
1087,-11,291,-291
1088,-11,291,-291
1089,-11,291,-291
1090,-11,291,-291
1091,-11,291,-291
1092,14,174,-603
1093,14,174,-603
1094,14,174,-603
1095,14,174,-603
