t,x,y,z
685,-1633,472,-49
686,-1633,472,-49
687,-1633,472,-49
688,-1633,472,-49
689,-1633,472,-49
690,-1431,620,85
691,-1431,620,85
692,-1431,620,85
693,-1431,620,85
694,-1431,620,85
695,-1349,751,192
696,-1349,751,192
697,-1349,751,192
698,-1349,751,192
699,-1349,751,192
700,-1479,823,248
701,-1479,823,248
702,-1479,823,248
703,-1479,823,248
704,-1677,835,212
705,-1677,835,212
706,-1677,835,212
707,-1677,835,212
708,-1677,835,212
709,-1794,745,60
710,-1794,745,60
711,-1794,745,60
712,-1794,745,60
713,-1794,745,60
714,-1826,532,-125
715,-1826,532,-125
716,-1826,532,-125
717,-1826,532,-125
718,-1826,532,-276
719,-1834,241,-276
720,-1834,241,-276
721,-1834,241,-276
722,-1834,241,-276
723,-1779,16,-351
724,-1779,16,-351
725,-1779,16,-351
726,-1779,16,-351
727,-1779,16,-351
728,-1613,-66,-343
729,-1613,-66,-343
730,-1613,-66,-343
731,-1613,-66,-343
732,-1412,-37,-261
733,-1412,-37,-261
734,-1412,-37,-261
735,-1412,-37,-261
736,-1412,-37,-261
737,-1356,32,-148
738,-1356,32,-148
739,-1356,32,-148
740,-1356,32,-148
741,-1356,32,-148
742,-1492,135,-73
743,-1492,135,-73
744,-1492,135,-73
745,-1492,135,-73
746,-1642,236,-54
747,-1642,236,-54
748,-1642,236,-54
749,-1642,236,-54
750,-1642,236,-54
751,-1747,263,-88
752,-1747,263,-88
753,-1747,263,-88
754,-1747,263,-88
755,-1747,263,-88
756,-1800,185,-133
757,-1800,185,-133
758,-1800,185,-133
759,-1800,185,-133
760,-1742,67,-156
761,-1742,67,-156
762,-1742,67,-156
763,-1742,67,-156
764,-1742,67,-156
765,-1510,-2,-145
766,-1510,-2,-145
767,-1510,-2,-145
768,-1510,-2,-145
769,-1510,-2,-145
770,-1122,-9,-86
771,-1122,-9,-86
772,-1122,-9,-86
773,-1122,-9,-86
774,-1122,-9,-86
775,-743,70,18
776,-743,70,18
777,-743,70,18
778,-743,70,18
779,-743,70,18
780,-657,173,111
781,-657,173,111
782,-657,173,111
783,-657,173,111
784,-657,173,111
785,-847,227,141
786,-847,227,141
787,-847,227,141
788,-847,227,141
789,-847,227,141
790,-1086,250,100
791,-1086,250,100
792,-1086,250,100
793,-1086,250,100
794,-1086,241,39
795,-1234,241,39
796,-1234,241,39
797,-1234,241,39
798,-1234,241,39
799,-1232,139,-17
800,-1232,139,-17
801,-1232,139,-17
802,-1232,139,-17
803,-1232,139,-17
804,-1088,-38,-54
805,-1088,-38,-54
806,-1088,-38,-54
807,-1088,-38,-54
808,-1088,-38,-54
809,-753,-256,-72
810,-753,-256,-72
811,-753,-256,-72
812,-753,-256,-72
813,-753,-256,-104
814,-264,-452,-104
815,-264,-452,-104
816,-264,-452,-104
817,-264,-452,-104
818,180,-573,-141
819,180,-573,-141
820,180,-573,-141
821,180,-573,-141
822,180,-573,-141
823,374,-603,-192
824,374,-603,-192
825,374,-603,-192
826,374,-603,-192
827,374,-603,-267
828,326,-580,-267
829,326,-580,-267
830,326,-580,-267
831,326,-580,-267
832,73,-556,-309
833,73,-556,-309
834,73,-556,-309
835,73,-556,-309
836,73,-556,-309
837,-216,-550,-323
838,-216,-550,-323
839,-216,-550,-323
840,-216,-550,-323
841,-216,-550,-323
842,-354,-558,-349
843,-354,-558,-349
844,-354,-558,-349
845,-354,-558,-349
846,-319,-535,-347
847,-319,-535,-347
848,-319,-535,-347
849,-319,-535,-347
850,-319,-535,-347
851,-132,-475,-318
852,-132,-475,-318
853,-132,-475,-318
854,-132,-475,-318
855,60,-427,-250
856,60,-427,-250
857,60,-427,-250
858,60,-427,-250
859,60,-427,-250
860,-18,-427,-199
861,-18,-427,-199
862,-18,-427,-199
863,-18,-427,-199
864,-18,-427,-199
865,-310,-396,-236
866,-310,-396,-236
867,-310,-396,-236
868,-310,-396,-236
869,-310,-396,-372
870,-541,-345,-372
871,-541,-345,-372
872,-541,-345,-372
873,-541,-345,-372
874,-649,-292,-442
875,-649,-292,-442
876,-649,-292,-442
877,-649,-292,-442
878,-649,-292,-425
879,-639,-247,-425
880,-639,-247,-425
881,-639,-247,-425
882,-639,-247,-425
883,-473,-227,-384
884,-473,-227,-384
885,-473,-227,-384
886,-473,-227,-384
887,-473,-227,-384
888,-188,-215,-326
889,-188,-215,-326
890,-188,-215,-326
891,-188,-215,-326
892,88,-228,-261
893,88,-228,-261
894,88,-228,-261
895,88,-228,-261
896,88,-228,-261
897,293,-233,-176
898,293,-233,-176
899,293,-233,-176
900,293,-233,-176
901,293,-233,-176
902,274,-227,-131
903,274,-227,-131
904,274,-227,-131
905,274,-227,-131
906,274,-227,-178
907,-9,-220,-178
908,-9,-220,-178
909,-9,-220,-178
910,-9,-220,-178
911,-364,-174,-253
912,-364,-174,-253
913,-364,-174,-253
914,-364,-174,-253
915,-364,-174,-253
916,-586,-56,-265
917,-586,-56,-265
918,-586,-56,-265
919,-586,-56,-265
920,-586,-56,-265
921,-591,117,-204
922,-591,117,-204
923,-591,117,-204
924,-591,117,-204
925,-430,302,-125
926,-430,302,-125
927,-430,302,-125
928,-430,302,-125
929,-430,302,-125
930,-125,449,-75
931,-125,449,-75
932,-125,449,-75
933,-125,449,-75
934,-125,449,-75
935,190,501,-37
936,190,501,-37
937,190,501,-37
938,190,501,-37
939,190,501,-37
940,403,423,-43
941,403,423,-43
942,403,423,-43
943,403,423,-43
944,403,423,-43
945,410,263,-113
946,410,263,-113
947,410,263,-113
948,410,263,-113
949,410,263,-113
950,182,48,-245
951,182,48,-245
952,182,48,-245
953,182,48,-245
954,182,48,-245
955,-121,-158,-396
956,-121,-158,-396
957,-121,-158,-396
958,-121,-158,-396
959,-121,-158,-396
960,-254,-243,-508
961,-254,-243,-508
962,-254,-243,-508
963,-254,-243,-508
964,-186,-213,-541
965,-186,-213,-541
966,-186,-213,-541
967,-186,-213,-541
968,-186,-213,-541
969,-25,-134,-498
970,-25,-134,-498
971,-25,-134,-498
972,-25,-134,-498
973,-25,-134,-418
974,161,-46,-418
975,161,-46,-418
976,161,-46,-418
977,161,-46,-418
978,341,-1,-365
979,341,-1,-365
980,341,-1,-365
981,341,-1,-365
982,341,-1,-365
983,341,-1,-342
984,486,8,-342
985,486,8,-342
986,486,8,-342
987,486,8,-342
988,486,8,-342
989,529,11,-321
990,529,11,-321
991,529,11,-321
992,529,11,-321
993,529,11,-321
994,420,50,-273
995,420,50,-273
996,420,50,-273
997,420,50,-273
998,420,50,-273
999,287,138,-232
1000,287,138,-232
1001,287,138,-232
1002,287,138,-232
1003,287,138,-232
1004,280,260,-255
1005,280,260,-255
1006,280,260,-255
1007,280,260,-255
1008,280,260,-255
1009,414,349,-273
1010,414,349,-273
1011,414,349,-273
1012,414,349,-273
1013,414,349,-273
1014,580,382,-258
1015,580,382,-258
1016,580,382,-258
1017,580,382,-258
1018,580,382,-258
1019,694,337,-231
1020,694,337,-231
1021,694,337,-231
1022,694,337,-231
1023,694,337,-231
1024,737,239,-231
1025,737,239,-231
1026,737,239,-231
1027,737,239,-231
