x,y,z
-516,1052,617
-516,1052,617
-516,1052,617
-516,1052,617
-867,536,348
-867,536,348
-867,536,348
-867,536,348
-867,536,348
-1193,174,117
-1193,174,117
-1193,174,117
-1193,174,117
-1449,17,103
-1445,17,103
-1445,17,103
-1445,17,103
-1445,17,103
-1662,98,180
-1662,98,180
-1662,98,180
-1662,98,180
-1662,98,180
-1866,251,284
-1866,251,284
-1866,251,284
-1866,251,284
-1866,251,284
-2030,369,420
-2030,369,420
-2030,369,420
-2030,369,420
-2030,369,420
-2166,453,549
-2166,453,549
-2166,453,549
-2166,453,549
-2222,504,639
-2222,504,639
-2222,504,639
-2222,504,639
-2222,504,639
-2297,621,724
-2297,621,724
-2297,621,724
-2297,621,724
-2297,621,724
-2472,680,777
-2472,680,777
-2472,680,777
-2472,680,777
-2472,680,753
-2732,611,753
-2732,611,753
-2732,611,753
-2732,611,753
-3029,633,702
-3029,633,702
-3029,633,702
-3029,633,702
-3029,633,702
-3267,911,722
-3267,911,722
-3267,911,722
-3267,911,722
-3267,911,722
-3348,1326,867
-3348,1326,867
-3348,1326,867
-3348,1326,867
-3322,1739,1102
-3322,1739,1102
-3322,1739,1102
-3322,1739,1102
-3322,1739,1102
-3314,2018,1215
-3314,2018,1215
-3314,2018,1215
-3314,2018,1215
-3408,1903,1070
-3408,1903,1070
-3408,1903,1070
-3408,1903,1070
-3622,1534,726
-3622,1534,726
-3622,1534,726
-3622,1534,726
-3622,1534,726
-3762,1254,424
-3762,1254,424
-3762,1254,424
-3762,1254,424
-3762,1200,311
-3711,1200,311
-3711,1200,311
-3711,1200,311
-3711,1200,311
-3530,1097,363
-3530,1097,363
-3530,1097,363
-3530,1097,363
-3530,1097,358
-3223,863,358
-3223,863,358
-3223,863,358
-3223,863,358
-2887,693,244
-2887,693,244
-2887,693,244
-2887,693,244
-2887,693,244
-2620,655,96
-2620,655,96
-2620,655,96
-2620,655,96
-2620,655,96
-2365,600,70
-2365,600,70
-2365,600,70
-2365,600,70
-2365,600,70
-2155,649,234
-2155,649,234
-2155,649,234
-2155,649,234
-1974,662,442
-1974,662,442
-1974,662,442
-1974,662,442
-1974,662,442
-1866,546,536
-1866,546,536
-1866,546,536
-1866,546,536
-1866,546,536
-1882,409,532
-1882,409,532
-1882,409,532
-1882,409,532
-1882,409,460
-2031,308,460
-2031,308,460
-2031,308,460
-2031,308,460
-2187,237,327
-2187,237,327
-2187,237,327
-2187,237,327
-2187,237,327
-2251,51,91
-2251,51,91
-2251,51,91
-2251,51,91
-2251,51,91
-2141,-125,-161
-2141,-125,-161
-2141,-125,-161
-2141,-125,-161
-2141,-125,-128
-1753,-85,-128
-1753,-85,-128
-1753,-85,-128
-1753,-85,-128
-1343,40,101
-1343,40,101
-1343,40,101
-1343,40,101
-1343,40,101
-1064,147,330
-1064,147,330
-1064,147,330
-1064,147,330
-1064,147,524
-989,293,524
-989,293,524
-989,293,524
-989,293,524
-1082,485,699
-1082,485,699
-1082,485,699
-1082,485,699
-1082,485,699
-1208,689,680
-1208,689,680
-1208,689,680
-1208,689,680
-1208,689,680
-1381,795,413
-1381,795,413
-1381,795,413
-1381,795,413
-1381,795,136
-1481,693,136
-1481,693,136
-1481,693,136
-1481,693,136
-1395,459,60
-1395,459,60
-1395,459,60
-1395,459,60
-1395,459,60
-1208,396,147
-1208,396,147
-1208,396,147
-1208,396,147
-1208,396,147
-1063,460,252
-1063,460,252
-1063,460,252
-1063,460,252
-1063,460,508
-1068,503,273
-1068,503,273
-1068,503,273
-1068,503,273
-1145,540,234
-1145,540,234
-1145,540,234
-1145,540,234
-1145,540,234
-1177,579,206
-1177,579,206
-1177,579,206
-1177,579,206
-1177,579,206
-1195,591,210
-1195,591,210
-1195,591,210
-1195,591,210
-1451,634,253
-1262,634,253
-1262,634,253
-1262,634,253
-1262,634,253
-1327,712,309
-1327,712,309
-1327,712,309
-1327,712,309
-1327,712,309
-1372,779,341
-1372,779,341
-1372,779,341
-1372,779,341
-1372,779,338
-1433,801,338
-1433,801,338
-1433,801,338
-1433,801,338
-1480,771,333
-1480,771,333
-1480,771,333
-1480,771,333
-1480,771,333
-1610,759,318
-1610,759,318
-1610,759,318
-1610,759,318
-1610,759,318
-1649,772,262
-1649,772,262
-1649,772,262
-1649,772,262
-1612,797,189
-1612,797,189
